# Region type : patch inlet
# Faces       : 192
# Area        : 5.944480e-04
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.0005        	-1.249304e-06
0.001         	-1.312720e-06
0.0015        	-1.528841e-06
0.002         	-1.541179e-06
0.0025        	-1.563369e-06
0.003         	-1.578479e-06
0.0035        	-1.617568e-06
0.004         	-1.670677e-06
0.0045        	-1.723862e-06
0.005         	-1.769389e-06
0.0055        	-1.808486e-06
0.006         	-1.844603e-06
0.0065        	-1.883166e-06
0.007         	-1.928045e-06
0.0075        	-1.982356e-06
0.008         	-2.036595e-06
0.0085        	-2.094492e-06
0.009         	-2.155054e-06
0.0095        	-2.216289e-06
0.01          	-2.272183e-06
0.0105        	-2.326439e-06
0.011         	-2.384996e-06
0.0115        	-2.441733e-06
0.012         	-2.499409e-06
0.0125        	-2.554272e-06
0.013         	-2.606030e-06
0.0135        	-2.650193e-06
0.014         	-2.712282e-06
0.0145        	-2.771481e-06
0.015         	-2.811260e-06
0.0155        	-2.866602e-06
0.016         	-2.934515e-06
0.0165        	-2.989735e-06
0.017         	-3.035785e-06
0.0175        	-3.085546e-06
0.018         	-3.142023e-06
0.0185        	-3.196980e-06
0.019         	-3.247103e-06
0.0195        	-3.294464e-06
0.02          	-3.349590e-06
0.0205        	-3.411006e-06
0.021         	-3.465383e-06
0.0215        	-3.510045e-06
0.022         	-3.561953e-06
0.0225        	-3.629629e-06
0.023         	-3.682112e-06
0.0235        	-3.726408e-06
0.024         	-3.778302e-06
0.0245        	-3.837012e-06
0.025         	-3.889059e-06
0.0255        	-3.943817e-06
0.026         	-4.001817e-06
0.0265        	-4.052574e-06
0.027         	-4.098529e-06
0.0275        	-4.155454e-06
0.028         	-4.225040e-06
0.0285        	-4.282718e-06
0.029         	-4.318370e-06
0.0295        	-4.372316e-06
0.03          	-4.435910e-06
0.0305        	-4.487680e-06
0.031         	-4.528509e-06
0.0315        	-4.590823e-06
0.032         	-4.654435e-06
0.0325        	-4.707582e-06
0.033         	-4.748898e-06
0.0335        	-4.809883e-06
0.034         	-4.869449e-06
0.0345        	-4.914519e-06
0.035         	-4.959403e-06
0.0355        	-5.025694e-06
0.036         	-5.085128e-06
0.0365        	-5.124597e-06
0.037         	-5.167678e-06
0.0375        	-5.245652e-06
0.038         	-5.306051e-06
0.0385        	-5.342027e-06
0.039         	-5.384152e-06
0.0395        	-5.458862e-06
0.04          	-5.519254e-06
0.0405        	-5.551526e-06
0.041         	-5.587170e-06
0.0415        	-5.674784e-06
0.042         	-5.741457e-06
0.0425        	-5.777535e-06
0.043         	-5.814482e-06
0.0435        	-5.885124e-06
0.044         	-5.952715e-06
0.0445        	-5.990407e-06
0.045         	-6.029704e-06
0.0455        	-6.093491e-06
0.046         	-6.157935e-06
0.0465        	-6.207368e-06
0.047         	-6.241362e-06
0.0475        	-6.299758e-06
0.048         	-6.356589e-06
0.0485        	-6.399428e-06
0.049         	-6.447605e-06
0.0495        	-6.520880e-06
0.05          	-6.581661e-06
0.0505        	-6.608763e-06
0.051         	-6.633084e-06
0.0515        	-6.723357e-06
0.052         	-6.795860e-06
0.0525        	-6.837185e-06
0.053         	-6.863217e-06
0.0535        	-6.925709e-06
0.054         	-6.994282e-06
0.0545        	-7.047409e-06
0.055         	-7.078885e-06
0.0555        	-7.126378e-06
0.056         	-7.182741e-06
0.0565        	-7.235403e-06
0.057         	-7.277537e-06
0.0575        	-7.330566e-06
0.058         	-7.380469e-06
0.0585        	-7.440428e-06
0.059         	-7.503094e-06
0.0595        	-7.554130e-06
0.06          	-7.599164e-06
0.0605        	-7.649209e-06
0.061         	-7.683385e-06
0.0615        	-7.722817e-06
0.062         	-7.766445e-06
0.0625        	-7.795605e-06
0.063         	-7.815999e-06
0.0635        	-7.849816e-06
0.064         	-7.886477e-06
0.0645        	-7.943016e-06
0.065         	-8.001178e-06
0.0655        	-8.025718e-06
0.066         	-8.104489e-06
0.0665        	-8.160176e-06
0.067         	-8.209930e-06
0.0675        	-8.254403e-06
0.068         	-8.320078e-06
0.0685        	-8.367252e-06
0.069         	-8.410739e-06
0.0695        	-8.475760e-06
0.07          	-8.526777e-06
0.0705        	-8.573009e-06
0.071         	-8.609986e-06
0.0715        	-8.667774e-06
0.072         	-8.738381e-06
0.0725        	-8.789376e-06
0.073         	-8.863046e-06
0.0735        	-8.941161e-06
0.074         	-8.994909e-06
0.0745        	-9.047345e-06
0.075         	-9.102504e-06
0.0755        	-9.133267e-06
0.076         	-9.176352e-06
0.0765        	-9.248025e-06
0.077         	-9.308906e-06
0.0775        	-9.338310e-06
0.078         	-9.374018e-06
0.0785        	-9.466186e-06
0.079         	-9.513178e-06
0.0795        	-9.513001e-06
0.08          	-9.575906e-06
0.0805        	-9.675235e-06
0.081         	-9.753825e-06
0.0815        	-9.768291e-06
0.082         	-9.804549e-06
0.0825        	-9.870692e-06
0.083         	-9.943183e-06
0.0835        	-9.984150e-06
0.084         	-1.000227e-05
0.0845        	-1.007061e-05
0.085         	-1.015587e-05
0.0855        	-1.022889e-05
0.086         	-1.024184e-05
0.0865        	-1.029999e-05
0.087         	-1.038771e-05
0.0875        	-1.044497e-05
0.088         	-1.045954e-05
0.0885        	-1.046163e-05
0.089         	-1.064279e-05
0.0895        	-1.073300e-05
0.09          	-1.076057e-05
0.0905        	-1.075496e-05
0.091         	-1.076060e-05
0.0915        	-1.087573e-05
0.092         	-1.097058e-05
0.0925        	-1.100569e-05
0.093         	-1.100267e-05
0.0935        	-1.102709e-05
0.094         	-1.115959e-05
0.0945        	-1.126185e-05
0.095         	-1.127466e-05
0.0955        	-1.128572e-05
0.096         	-1.135423e-05
0.0965        	-1.143270e-05
0.097         	-1.150467e-05
0.0975        	-1.153577e-05
0.098         	-1.157927e-05
0.0985        	-1.162167e-05
0.099         	-1.170964e-05
0.0995        	-1.180517e-05
0.1           	-1.183260e-05
