# Region type : patch outlet
# Faces       : 192
# Area        : 5.944480e-04
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.0005        	1.279870e-06
0.001         	1.340469e-06
0.0015        	1.547681e-06
0.002         	1.565493e-06
0.0025        	1.603465e-06
0.003         	1.626376e-06
0.0035        	1.674359e-06
0.004         	1.729100e-06
0.0045        	1.759792e-06
0.005         	1.794615e-06
0.0055        	1.833033e-06
0.006         	1.856412e-06
0.0065        	1.898981e-06
0.007         	1.942808e-06
0.0075        	1.990775e-06
0.008         	2.036589e-06
0.0085        	2.091812e-06
0.009         	2.161349e-06
0.0095        	2.217254e-06
0.01          	2.270762e-06
0.0105        	2.339775e-06
0.011         	2.404875e-06
0.0115        	2.464433e-06
0.012         	2.525105e-06
0.0125        	2.559469e-06
0.013         	2.592804e-06
0.0135        	2.636669e-06
0.014         	2.700159e-06
0.0145        	2.759700e-06
0.015         	2.795580e-06
0.0155        	2.850828e-06
0.016         	2.918776e-06
0.0165        	2.996630e-06
0.017         	3.039476e-06
0.0175        	3.101168e-06
0.018         	3.173698e-06
0.0185        	3.227868e-06
0.019         	3.285045e-06
0.0195        	3.330772e-06
0.02          	3.388318e-06
0.0205        	3.430073e-06
0.021         	3.489744e-06
0.0215        	3.539753e-06
0.022         	3.588936e-06
0.0225        	3.661572e-06
0.023         	3.719551e-06
0.0235        	3.758560e-06
0.024         	3.800066e-06
0.0245        	3.847451e-06
0.025         	3.908362e-06
0.0255        	3.959186e-06
0.026         	4.013073e-06
0.0265        	4.065035e-06
0.027         	4.113356e-06
0.0275        	4.172490e-06
0.028         	4.238585e-06
0.0285        	4.294920e-06
0.029         	4.336151e-06
0.0295        	4.385495e-06
0.03          	4.448994e-06
0.0305        	4.499136e-06
0.031         	4.534348e-06
0.0315        	4.588740e-06
0.032         	4.651691e-06
0.0325        	4.716355e-06
0.033         	4.768924e-06
0.0335        	4.825307e-06
0.034         	4.884720e-06
0.0345        	4.936052e-06
0.035         	4.979281e-06
0.0355        	5.046623e-06
0.036         	5.099407e-06
0.0365        	5.139366e-06
0.037         	5.183331e-06
0.0375        	5.257594e-06
0.038         	5.316143e-06
0.0385        	5.355943e-06
0.039         	5.393664e-06
0.0395        	5.466165e-06
0.04          	5.523875e-06
0.0405        	5.567377e-06
0.041         	5.605346e-06
0.0415        	5.688882e-06
0.042         	5.755169e-06
0.0425        	5.792046e-06
0.043         	5.830295e-06
0.0435        	5.895004e-06
0.044         	5.959977e-06
0.0445        	5.995434e-06
0.045         	6.039849e-06
0.0455        	6.101791e-06
0.046         	6.161075e-06
0.0465        	6.211608e-06
0.047         	6.251459e-06
0.0475        	6.301486e-06
0.048         	6.359097e-06
0.0485        	6.407651e-06
0.049         	6.461981e-06
0.0495        	6.536520e-06
0.05          	6.594792e-06
0.0505        	6.625719e-06
0.051         	6.658251e-06
0.0515        	6.747492e-06
0.052         	6.816217e-06
0.0525        	6.860680e-06
0.053         	6.881468e-06
0.0535        	6.942847e-06
0.054         	7.010305e-06
0.0545        	7.059576e-06
0.055         	7.089006e-06
0.0555        	7.137155e-06
0.056         	7.195152e-06
0.0565        	7.249165e-06
0.057         	7.287101e-06
0.0575        	7.331850e-06
0.058         	7.383916e-06
0.0585        	7.436992e-06
0.059         	7.501532e-06
0.0595        	7.555090e-06
0.06          	7.601428e-06
0.0605        	7.647814e-06
0.061         	7.672916e-06
0.0615        	7.705976e-06
0.062         	7.751077e-06
0.0625        	7.781334e-06
0.063         	7.811047e-06
0.0635        	7.844370e-06
0.064         	7.875679e-06
0.0645        	7.921987e-06
0.065         	7.981389e-06
0.0655        	8.006756e-06
0.066         	8.090214e-06
0.0665        	8.148472e-06
0.067         	8.197571e-06
0.0675        	8.246297e-06
0.068         	8.320727e-06
0.0685        	8.364701e-06
0.069         	8.409555e-06
0.0695        	8.471908e-06
0.07          	8.526183e-06
0.0705        	8.564893e-06
0.071         	8.602530e-06
0.0715        	8.665065e-06
0.072         	8.733908e-06
0.0725        	8.788296e-06
0.073         	8.866029e-06
0.0735        	8.956415e-06
0.074         	9.001661e-06
0.0745        	9.047741e-06
0.075         	9.095450e-06
0.0755        	9.122027e-06
0.076         	9.186987e-06
0.0765        	9.275800e-06
0.077         	9.327903e-06
0.0775        	9.339400e-06
0.078         	9.401859e-06
0.0785        	9.497133e-06
0.079         	9.546838e-06
0.0795        	9.545689e-06
0.08          	9.612374e-06
0.0805        	9.719541e-06
0.081         	9.793861e-06
0.0815        	9.807431e-06
0.082         	9.838745e-06
0.0825        	9.905835e-06
0.083         	9.971097e-06
0.0835        	1.000387e-05
0.084         	1.001229e-05
0.0845        	1.009551e-05
0.085         	1.020472e-05
0.0855        	1.028731e-05
0.086         	1.031453e-05
0.0865        	1.036661e-05
0.087         	1.045165e-05
0.0875        	1.052184e-05
0.088         	1.055011e-05
0.0885        	1.054895e-05
0.089         	1.073891e-05
0.0895        	1.084445e-05
0.09          	1.087459e-05
0.0905        	1.087318e-05
0.091         	1.086518e-05
0.0915        	1.095751e-05
0.092         	1.104372e-05
0.0925        	1.108639e-05
0.093         	1.109579e-05
0.0935        	1.109153e-05
0.094         	1.122908e-05
0.0945        	1.134998e-05
0.095         	1.136202e-05
0.0955        	1.137224e-05
0.096         	1.142367e-05
0.0965        	1.150146e-05
0.097         	1.157881e-05
0.0975        	1.160745e-05
0.098         	1.166012e-05
0.0985        	1.170739e-05
0.099         	1.180893e-05
0.0995        	1.192976e-05
0.1           	1.192339e-05
