# Region type : patch wall
# Faces       : 768
# Area        : 4.787251e-03
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.0005        	-3.055573e-08
0.001         	-2.777512e-08
0.0015        	-1.883768e-08
0.002         	-2.434397e-08
0.0025        	-4.002543e-08
0.003         	-4.789891e-08
0.0035        	-5.680540e-08
0.004         	-5.835046e-08
0.0045        	-3.594111e-08
0.005         	-2.514657e-08
0.0055        	-2.446090e-08
0.006         	-1.194798e-08
0.0065        	-1.575641e-08
0.007         	-1.464958e-08
0.0075        	-8.304724e-09
0.008         	8.233360e-11
0.0085        	2.715459e-09
0.009         	-6.193012e-09
0.0095        	-1.011748e-09
0.01          	1.428893e-09
0.0105        	-1.331251e-08
0.011         	-1.989041e-08
0.0115        	-2.270027e-08
0.012         	-2.556123e-08
0.0125        	-5.198016e-09
0.013         	1.340084e-08
0.0135        	1.361489e-08
0.014         	1.227757e-08
0.0145        	1.177357e-08
0.015         	1.566381e-08
0.0155        	1.581397e-08
0.016         	1.579539e-08
0.0165        	-6.848838e-09
0.017         	-3.731920e-09
0.0175        	-1.553860e-08
0.018         	-3.168475e-08
0.0185        	-3.105366e-08
0.019         	-3.777827e-08
0.0195        	-3.635899e-08
0.02          	-3.846236e-08
0.0205        	-1.904092e-08
0.021         	-2.426110e-08
0.0215        	-2.987593e-08
0.022         	-2.694443e-08
0.0225        	-3.165235e-08
0.023         	-3.747744e-08
0.0235        	-3.227862e-08
0.024         	-2.153706e-08
0.0245        	-1.012713e-08
0.025         	-1.919033e-08
0.0255        	-1.549934e-08
0.026         	-1.148625e-08
0.0265        	-1.231746e-08
0.027         	-1.490748e-08
0.0275        	-1.702774e-08
0.028         	-1.335796e-08
0.0285        	-1.213436e-08
0.029         	-1.776569e-08
0.0295        	-1.301547e-08
0.03          	-1.293051e-08
0.0305        	-1.172013e-08
0.031         	-5.987321e-09
0.0315        	2.199164e-09
0.032         	2.731077e-09
0.0325        	-8.619859e-09
0.033         	-2.014927e-08
0.0335        	-1.530483e-08
0.034         	-1.511085e-08
0.0345        	-2.174632e-08
0.035         	-1.989369e-08
0.0355        	-2.075519e-08
0.036         	-1.396137e-08
0.0365        	-1.476878e-08
0.037         	-1.568520e-08
0.0375        	-1.181409e-08
0.038         	-1.003735e-08
0.0385        	-1.393778e-08
0.039         	-9.717632e-09
0.0395        	-7.069086e-09
0.04          	-4.341019e-09
0.0405        	-1.570260e-08
0.041         	-1.842306e-08
0.0415        	-1.398109e-08
0.042         	-1.351161e-08
0.0425        	-1.458697e-08
0.043         	-1.596721e-08
0.0435        	-9.887598e-09
0.044         	-7.015745e-09
0.0445        	-4.995376e-09
0.045         	-1.006493e-08
0.0455        	-8.220839e-09
0.046         	-3.082203e-09
0.0465        	-4.161744e-09
0.047         	-1.012961e-08
0.0475        	-1.641933e-09
0.048         	-2.117957e-09
0.0485        	-8.226836e-09
0.049         	-1.467473e-08
0.0495        	-1.564887e-08
0.05          	-1.311861e-08
0.0505        	-1.673053e-08
0.051         	-2.528498e-08
0.0515        	-2.413012e-08
0.052         	-2.078964e-08
0.0525        	-2.370121e-08
0.053         	-1.852556e-08
0.0535        	-1.709612e-08
0.054         	-1.568961e-08
0.0545        	-1.253414e-08
0.055         	-1.027031e-08
0.0555        	-1.081373e-08
0.056         	-1.241047e-08
0.0565        	-1.381443e-08
0.057         	-9.253886e-09
0.0575        	-1.532856e-09
0.058         	-3.483009e-09
0.0585        	3.407608e-09
0.059         	1.249836e-09
0.0595        	-8.213707e-10
0.06          	-2.687843e-09
0.0605        	1.109726e-09
0.061         	1.039318e-08
0.0615        	1.696684e-08
0.062         	1.538323e-08
0.0625        	1.370875e-08
0.063         	4.940687e-09
0.0635        	5.413893e-09
0.064         	1.125562e-08
0.0645        	2.081121e-08
0.065         	1.967924e-08
0.0655        	1.875398e-08
0.066         	1.481863e-08
0.0665        	1.155072e-08
0.067         	1.195441e-08
0.0675        	8.010076e-09
0.068         	-6.235409e-10
0.0685        	2.575876e-09
0.069         	1.220495e-09
0.0695        	3.896862e-09
0.07          	5.415533e-10
0.0705        	8.226823e-09
0.071         	7.571795e-09
0.0715        	2.799311e-09
0.072         	4.407949e-09
0.0725        	1.178897e-09
0.073         	-2.428664e-09
0.0735        	-1.520563e-08
0.074         	-6.925613e-09
0.0745        	-4.003195e-10
0.075         	7.117685e-09
0.0755        	1.132498e-08
0.076         	-1.081645e-08
0.0765        	-2.770130e-08
0.077         	-1.881510e-08
0.0775        	-1.139252e-09
0.078         	-2.783232e-08
0.0785        	-3.086567e-08
0.079         	-3.365687e-08
0.0795        	-3.269451e-08
0.08          	-3.626611e-08
0.0805        	-4.441877e-08
0.081         	-4.007334e-08
0.0815        	-3.891301e-08
0.082         	-3.405803e-08
0.0825        	-3.499062e-08
0.083         	-2.806956e-08
0.0835        	-2.016628e-08
0.084         	-9.926349e-09
0.0845        	-2.470692e-08
0.085         	-4.886468e-08
0.0855        	-5.851578e-08
0.086         	-7.265740e-08
0.0865        	-6.661098e-08
0.087         	-6.392292e-08
0.0875        	-7.686459e-08
0.088         	-9.039744e-08
0.0885        	-8.724057e-08
0.089         	-9.610384e-08
0.0895        	-1.114215e-07
0.09          	-1.139265e-07
0.0905        	-1.180659e-07
0.091         	-1.044028e-07
0.0915        	-8.128618e-08
0.092         	-7.322302e-08
0.0925        	-8.080783e-08
0.093         	-9.298260e-08
0.0935        	-6.433606e-08
0.094         	-6.946746e-08
0.0945        	-8.822999e-08
0.095         	-8.734264e-08
0.0955        	-8.639689e-08
0.096         	-6.984626e-08
0.0965        	-6.925764e-08
0.097         	-7.424367e-08
0.0975        	-7.173036e-08
0.098         	-8.066401e-08
0.0985        	-8.564168e-08
0.099         	-9.929071e-08
0.0995        	-1.247059e-07
0.1           	-9.074931e-08
